Program Time [s],data 0,data 1,data 2
1322.38,70.7,2050,4050
1323.38,70.25,2050,4050
1324.39,70.25,2050,4050
1325.4,70.7,2050,4050
1326.41,70.7,2050,4050
1327.41,70.7,2050,4050
1328.43,70.7,2050,4050
1329.43,70.7,2050,4050
1330.44,71.15,2050,4050
1331.45,71.15,2050,4050
1332.46,71.6,2050,4050
1333.47,71.6,2050,4050
1334.48,71.6,2050,4050
1335.49,71.6,2050,4050
1336.49,70.25,2050,4050
1337.5,70.25,2050,4050
1338.51,70.7,2050,4050
1339.52,70.25,2050,4050
1340.53,70.7,2050,4050
1341.53,70.7,2050,4050
1342.54,71.15,2050,4050
1343.55,71.15,2050,4050
1344.56,71.15,2050,4050
1345.56,71.6,2050,4050
1346.58,71.6,2050,4050
1347.58,72.05,2050,4050
1348.59,72.05,2050,4050
1349.6,72.05,2050,4050
1350.61,72.5,2050,4050
1351.61,72.5,2050,4050
1352.62,72.95,2050,4050
1353.63,72.95,2050,4050
1354.64,73.4,2050,4050
1355.65,73.85,2050,4050
1356.66,73.4,2050,4050
1357.67,74.3,2050,4050
1358.68,73.85,2050,4050
1359.68,74.75,2050,4050
1360.69,74.75,2050,4050
1361.7,75.2,2050,4050
1362.71,75.2,2050,4050
1363.72,76.1,2050,4050
1364.73,75.65,2050,4050
1365.73,76.1,2050,4050
1366.74,76.1,2050,4050
1367.75,76.1,2050,4050
1368.75,77,2050,4050
1369.76,77,2050,4050
1370.76,77.45,2050,4050
1371.77,77.45,2050,4050
1372.77,78.35,2050,4050
1373.78,78.35,2050,4050
1374.79,78.35,2050,4050
1375.8,79.25,2050,4050
1376.81,78.8,2050,4050
1377.81,79.25,2050,4050
1378.82,79.7,2050,4050
1379.83,79.7,2050,4050
1380.83,81.05,2050,4050
1381.84,80.6,2050,4050
1382.85,81.05,2050,4050
1383.85,81.5,2050,4050
1384.85,81.5,2050,4050
1385.86,81.95,2050,4050
1386.87,82.4,2050,4050
1387.87,82.85,2050,4050
1388.88,83.3,2050,4050
1389.89,83.75,2050,4050
1390.9,84.2,2050,4050
1391.9,84.65,2050,4050
1392.91,84.65,2050,4050
1393.92,85.1,2050,4050
1394.93,85.55,2050,4050
1395.99,85.55,2050,4050
1396.94,86.45,2050,4050
1397.95,86.9,2050,4050
1398.96,86.9,2050,4050
1399.96,87.35,2050,4050
1400.97,88.25,2050,4050
1401.98,88.7,2050,4050
1402.99,89.15,2050,4050
1403.99,89.15,2050,4050
1405,89.15,2050,4050
1406,89.6,2050,4050
1407.01,89.6,2050,4050
1408.01,90.5,2050,4050
1409.02,90.95,2050,4050
1410.03,90.95,2050,4050
1411.03,91.85,2050,4050
1412.04,92.3,2050,4050
1413.05,92.75,2050,4050
1414.06,93.2,2050,4050
1415.06,93.2,2050,4050
1416.07,94.1,2050,4050
1417.08,94.55,2050,4050
1418.09,94.55,2050,4050
1419.1,95.45,2050,4050
1420.11,95.45,2050,4050
1421.12,95.9,2050,4050
1422.13,96.8,2050,4050
1423.14,96.8,2050,4050
1424.15,97.7,2050,4050
1425.16,98.15,2050,4050
1426.16,99.05,2050,4050
1427.18,99.05,2050,4050
1428.18,99.05,2050,4050
1429.19,99.95,2050,4050
1430.19,100.4,2050,4050
1431.2,100.85,2050,4050
1432.21,101.3,2050,4050
1433.22,101.75,2050,4050
1434.23,102.2,2050,4050
1435.24,102.65,2050,4050
1436.25,103.55,2050,4050
1437.25,104,2050,4050
1438.29,104.45,2050,4050
1439.29,104.45,2050,4050
1440.3,104.9,2050,4050
1441.31,105.8,2050,4050
1442.32,105.8,2050,4050
1443.33,106.25,2050,4050
1444.34,106.7,2050,4050
1445.35,107.6,2050,4050
1446.35,107.6,2050,4050
1447.36,108.5,2050,4050
1448.37,109.4,2050,4050
1449.38,109.4,2050,4050
1450.38,110.3,2050,4050
1451.39,110.75,2050,4050
1452.4,110.75,2050,4050
1453.4,111.65,2050,4050
1454.41,112.1,2050,4050
1455.42,112.55,2050,4050
1456.43,113.45,2050,4050
1457.43,113.45,2050,4050
1458.44,113.9,2050,4050
1459.44,114.8,2050,4050
1460.45,115.25,2050,4050
1461.46,115.7,2050,4050
1462.47,116.15,2050,4050
1463.47,116.6,2050,4050
1464.48,117.05,2050,4050
1465.49,117.5,2050,4050
1466.49,118.4,2050,4050
1467.49,118.85,2050,4050
1468.5,119.3,2050,4050
1469.51,119.75,2050,4050
1470.52,120.65,2050,4050
1471.52,121.1,2050,4050
1472.53,121.55,2050,4050
1473.54,122,2050,4050
1474.54,122.45,2050,4050
1475.55,123.35,2050,4050
1476.56,123.8,2050,4050
1477.58,124.25,2050,4050
1478.58,125.15,2050,4050
1479.59,125.6,2050,4050
1480.59,126.05,2050,4050
1481.61,126.5,2050,4050
1482.61,126.95,2050,4050
1483.62,127.85,2050,4050
1484.62,128.3,2050,4050
1485.63,128.75,2050,4050
1486.63,129.2,2050,4050
1487.65,129.65,2050,4050
1488.65,130.1,2050,4050
1489.66,131,2050,4050
1490.67,131.45,2050,4050
1491.68,131.9,2050,4050
1492.69,132.35,2050,4050
1493.69,132.8,2050,4050
1494.7,133.7,2050,4050
1495.71,134.15,2050,4050
1496.72,134.6,2050,4050
1497.73,135.5,2050,4050
1498.74,135.95,2050,4050
1499.75,136.4,2050,4050
1500.75,136.85,2050,4050
1501.76,137.3,2050,4050
1502.77,137.75,2050,4050
1503.78,138.65,2050,4050
1504.79,139.55,2050,4050
1505.8,140,2050,4050
1506.8,140.45,2050,4050
1507.81,140.9,2050,4050
1508.82,141.35,2050,4050
1509.82,142.25,2050,4050
1510.83,142.7,2050,4050
1511.84,143.15,2050,4050
1512.85,144.05,2050,4050
1513.85,144.95,2050,4050
1514.86,144.95,2050,4050
1515.87,145.4,2050,4050
1516.87,146.75,2050,4050
1517.88,146.75,2050,4050
1518.89,147.2,2050,4050
1519.89,148.55,2050,4050
1520.9,148.55,2050,4050
1521.91,149.45,2050,4050
1522.92,149.9,2050,4050
1523.93,150.8,2050,4050
1524.94,151.25,2050,4050
1525.94,151.7,2050,4050
1526.95,152.15,2050,4050
1527.96,152.6,2050,4050
1528.96,153.5,2050,4050
1529.97,154.4,2050,4050
1530.98,154.85,2050,4050
1531.98,155.3,2050,4050
1532.99,155.75,2050,4050
1533.99,156.65,2050,4050
1535,157.1,2050,4050
1536.01,157.55,2050,4050
1537.02,158.45,2050,4050
1538.03,158.9,2050,4050
1539.03,159.35,2050,4050
1540.05,160.25,2050,4050
1541.05,160.7,2050,4050
1542.06,161.6,2050,4050
1543.06,162.5,2050,4050
1544.07,162.5,2050,4050
1545.08,163.4,2050,4050
1546.09,163.85,2050,4050
1547.1,164.3,2050,4050
1548.11,165.2,2050,4050
1549.12,165.65,2050,4050
1550.13,166.55,2050,4050
1551.13,167,2050,4050
1552.14,167.45,2050,4050
1553.15,167.9,2050,4050
1554.16,168.8,2050,4050
1555.17,169.25,2050,4050
1556.17,169.7,2050,4050
1557.18,170.6,2050,4050
1558.19,171.05,2050,4050
1559.2,171.95,2050,4050
1560.2,172.4,2050,4050
1561.21,172.85,2050,4050
1562.22,173.75,2050,4050
1563.23,174.2,2050,4050
1564.24,174.65,2050,4050
1565.24,176,2050,4050
1566.25,176.45,2050,4050
1567.25,176.9,2050,4050
1568.26,177.8,2050,4050
1569.27,178.25,2050,4050
1570.28,178.7,2050,4050
1571.29,179.6,2050,4050
1572.29,180.05,2050,4050
1573.3,180.95,2050,4050
1574.31,181.4,2050,4050
1575.32,182.3,2050,4050
1576.33,182.75,2050,4050
1577.33,183.65,2050,4050
1578.34,183.65,2050,4050
1579.34,185,2050,4050
1580.35,185.45,2050,4050
1581.36,185.9,2050,4050
1582.37,186.35,2050,4050
1583.38,187.25,2050,4050
1584.39,187.7,2050,4050
1585.39,188.6,2050,4050
1586.4,189.05,2050,4050
1587.41,189.5,2050,4050
1588.42,190.4,2050,4050
1589.42,190.85,2050,4050
1590.43,191.75,2050,4050
1591.44,192.2,2050,4050
1592.45,192.65,2050,4050
1593.45,193.55,2050,4050
1594.46,194,2050,4050
1595.46,194.9,2050,4050
1596.47,195.35,2050,4050
1597.48,195.8,2050,4050
1598.49,196.7,2050,4050
1599.5,197.6,2050,4050
1600.51,198.05,2050,4050
1601.52,198.95,2050,4050
1602.52,199.4,2050,4050
1603.53,199.4,2050,4050
1604.54,200.3,2050,4050
1605.55,201.2,2050,4050
1606.56,201.65,2050,4050
1607.57,202.55,2050,4050
1608.58,203.45,2050,4050
1609.58,203.9,2050,4050
1610.6,204.35,2050,4050
1611.6,205.25,2050,4050
1612.61,205.7,2050,4050
1613.62,206.6,2050,4050
1614.63,207.05,2050,4050
1615.63,207.5,2050,4050
1616.64,208.4,2050,4050
1617.65,208.85,2050,4050
1618.66,209.3,2050,4050
1619.66,210.65,2050,4050
1620.68,210.65,2050,4050
1621.68,211.55,2050,4050
1622.69,212.45,2050,4050
1623.7,212.9,2050,4050
1624.7,213.35,2050,4050
1625.71,213.8,2050,4050
1626.71,214.25,2050,4050
1627.72,215.15,2050,4050
1628.72,215.6,2050,4050
1629.73,216.5,2050,4050
1630.73,216.95,2050,4050
1631.74,217.85,2050,4050
1632.75,218.3,2050,4050
1633.76,219.2,2050,4050
1634.76,219.65,2050,4050
1635.77,220.1,2050,4050
1636.78,221,2050,4050
1637.79,221.45,2050,4050
1638.79,222.35,2050,4050
1639.8,222.8,2050,4050
1640.81,223.25,2050,4050
1641.81,224.15,2050,4050
1642.82,224.6,2050,4050
1643.83,225.5,2050,4050
1644.84,226.4,2050,4050
1645.85,226.85,2050,4050
1646.86,227.3,2050,4050
1647.86,228.2,2050,4050
1648.87,228.65,2050,4050
1649.88,229.55,2050,4050
1650.88,230,2050,4050
1651.89,230.9,2050,4050
1652.9,230.9,2050,4050
1653.9,231.8,2050,4050
1654.91,232.7,2050,4050
1655.92,233.15,2050,4050
1656.92,233.6,2050,4050
1657.93,234.5,2050,4050
1658.94,234.95,2050,4050
1659.95,235.4,2050,4050
1660.96,236.3,2050,4050
1661.96,236.75,2050,4050
1662.97,237.65,2050,4050
1663.98,238.1,2050,4050
1664.99,239,2050,4050
1665.99,239.45,2050,4050
1667,239.9,2050,4050
1668,240.8,2050,4050
1669.01,241.25,2050,4050
1670.01,242.15,2050,4050
1671.02,242.6,2050,4050
1672.02,243.5,2050,4050
1673.03,243.95,2050,4050
1674.03,244.85,2050,4050
1675.04,245.3,2050,4050
1676.04,245.75,2050,4050
1677.06,246.65,2050,4050
1678.06,247.55,2050,4050
1679.07,248,2050,4050
1680.07,248.9,2050,4050
1681.08,249.35,2050,4050
1682.09,250.25,2050,4050
1683.1,250.7,2050,4050
1684.11,251.15,2050,4050
1685.11,251.6,2050,4050
1686.12,252.5,2050,4050
1687.13,252.95,2050,4050
1688.14,253.85,2050,4050
1689.14,253.85,2050,4050
1690.15,254.75,2050,4050
1691.16,255.2,2050,4050
1692.17,256.1,2050,4050
1693.17,256.55,2050,4050
1694.19,257,2050,4050
1695.2,257.9,2050,4050
1696.2,258.35,2050,4050
1697.23,259.25,2050,4050
1698.21,259.7,2050,4050
1699.22,260.15,2050,4050
1700.24,261.05,2050,4050
1701.24,261.5,2050,4050
1702.26,262.4,2050,4050
1703.27,262.85,2050,4050
1704.27,263.75,2050,4050
1705.28,263.75,2050,4050
1706.29,264.65,2050,4050
1707.3,265.1,2050,4050
1708.3,266,2050,4050
1709.31,266.45,2050,4050
1710.32,266.9,2050,4050
1711.32,267.8,2050,4050
1712.33,268.25,2050,4050
1713.34,269.15,2050,4050
1714.35,269.6,2050,4050
1715.35,270.05,2050,4050
1716.37,270.5,2050,4050
1717.37,271.4,2050,4050
1718.39,271.85,2050,4050
1719.39,272.75,2050,4050
1720.39,273.2,2050,4050
1721.4,274.1,2050,4050
1722.41,274.55,2050,4050
1723.41,275.45,2050,4050
1724.42,275.9,2050,4050
1725.43,276.35,2050,4050
1726.43,277.25,2050,4050
1727.44,277.7,2050,4050
1728.45,278.15,2050,4050
1729.45,279.05,2050,4050
1730.46,279.5,2050,4050
1731.46,279.95,2050,4050
1732.48,280.85,2050,4050
1733.48,281.3,2050,4050
1734.49,281.75,2050,4050
1735.49,282.65,2050,4050
1736.51,283.1,2050,4050
1737.51,284,2050,4050
1738.52,284.45,2050,4050
1739.53,285.35,2050,4050
1740.53,285.8,2050,4050
1741.54,286.25,2050,4050
1742.55,286.7,2050,4050
1743.56,287.15,2050,4050
1744.56,288.05,2050,4050
1745.57,288.5,2050,4050
1746.57,289.4,2050,4050
1747.58,289.85,2050,4050
1748.58,290.75,2050,4050
1749.59,291.2,2050,4050
1750.6,291.65,2050,4050
1751.61,292.55,2050,4050
1752.62,293,2050,4050
1753.62,293.9,2050,4050
1754.63,293.9,2050,4050
1755.63,294.35,2050,4050
1756.64,295.25,2050,4050
1757.64,295.7,2050,4050
1758.65,296.15,2050,4050
1759.65,297.05,2050,4050
1760.66,297.5,2050,4050
1761.66,297.95,2050,4050
1762.67,298.85,2050,4050
1763.68,299.3,2050,4050
1764.68,299.75,2050,4050
1765.69,300.65,2050,4050
1766.69,301.1,2050,4050
1767.7,302,2050,4050
1768.71,302.45,2050,4050
1769.72,302.9,2050,4050
1770.72,303.35,2050,4050
1771.73,304.25,2050,4050
1772.74,304.25,2050,4050
1773.74,305.15,2050,4050
1774.75,305.6,2050,4050
1775.76,306.5,2050,4050
1776.77,306.95,2050,4050
1777.78,307.4,2050,4050
1778.79,307.85,2050,4050
1779.8,308.75,2050,4050
1780.82,309.2,2050,4050
1781.82,310.1,2050,4050
1782.83,310.55,2050,4050
1783.84,311,2050,4050
1784.85,311.45,2050,4050
1785.85,312.35,2050,4050
1786.86,312.8,2050,4050
1787.86,313.7,2050,4050
1788.87,314.15,2050,4050
1789.87,314.6,2050,4050
1790.88,315.05,2050,4050
1791.89,315.95,2050,4050
1792.9,316.4,2050,4050
1793.91,316.85,2050,4050
1794.92,317.3,2050,4050
1795.92,318.2,2050,4050
1796.93,318.65,2050,4050
1797.94,319.1,2050,4050
1798.94,320,2050,4050
1799.95,320.45,2050,4050
1800.96,320.9,2050,4050
1801.97,321.8,2050,4050
1802.98,322.25,2050,4050
1803.98,322.7,2050,4050
1804.99,323.6,2050,4050
1806,323.6,2050,4050
1807,324.5,2050,4050
1808.01,324.95,2050,4050
1809.02,325.85,2050,4050
1810.03,326.3,2050,4050
1811.04,326.75,2050,4050
1812.04,327.65,2050,4050
1813.05,328.1,2050,4050
1814.06,328.55,2050,4050
1815.07,329.45,2050,4050
1816.07,329.9,2050,4050
1817.08,330.8,2050,4050
1818.09,331.25,2050,4050
1819.1,331.7,2050,4050
1820.1,332.15,2050,4050
1821.11,332.6,2050,4050
1822.11,333.05,2050,4050
1823.12,333.95,2050,4050
1824.13,334.4,2050,4050
1825.14,335.3,2050,4050
1826.14,335.75,2050,4050
1827.15,336.2,2050,4050
1828.16,336.65,2050,4050
1829.16,337.1,2050,4050
1830.17,338,2050,4050
1831.18,338.45,2050,4050
1832.19,339.35,2050,4050
1833.19,339.8,2050,4050
1834.21,340.25,2050,4050
1835.21,340.7,2050,4050
1836.22,341.15,2050,4050
1837.23,342.05,2050,4050
1838.24,342.5,2050,4050
1839.24,342.95,2050,4050
1840.25,343.4,2050,4050
1841.26,344.3,2050,4050
1842.26,344.75,2050,4050
1843.27,345.65,2050,4050
1844.28,346.1,2050,4050
1845.29,347,2050,4050
1846.29,347,2050,4050
1847.3,347.9,2050,4050
1848.31,348.35,2050,4050
1849.32,349.25,2050,4050
1850.33,349.7,2050,4050
1851.33,350.15,2050,4050
1852.34,350.6,2050,4050
1853.35,351.5,2050,4050
1854.35,351.95,2050,4050
1855.36,352.4,2050,4050
1856.36,352.85,2050,4050
1857.37,353.3,2050,4050
1858.38,353.75,2050,4050
1859.39,354.65,2050,4050
1860.4,355.1,2050,4050
1861.4,356,2050,4050
1862.41,356.45,2050,4050
1863.42,357.35,2050,4050
1864.42,357.35,2050,4050
